Player,height,weight,college,Year,Pos,Age,G,MP,PER,TS%,USG%,WS,BPM,VORP,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Don Boven,193.0,95.0,Western Michigan University,1952.3333333333333,F-G,26.333333333333332,43.666666666666664,945.6,,0.43131679389312977,,2.0541984732824425,,,0.34419847328244274,,0.34419847328244274,0.34419847328244274,0.7056870229007635,,104.19847328244275,,,,476.70992366412213
Harry Boykoff,208.0,102.0,St. John's University,1950.75,C,27.75,39.25,,,0.4488343949044585,,2.854140127388535,,,0.3901719745222929,,0.3901719745222929,0.3901719745222929,0.7527834394904458,,86.4267515923567,,,,456.04458598726114
Joe Bradley,190.0,79.0,Oklahoma State University,1950.0,G,21.0,46.0,,,0.289,,-0.3,,,0.269,,0.269,0.269,0.395,,36.0,,,,87.0
Bob Brannum,196.0,97.0,Michigan State University,1952.8,PF,26.8,67.6,1644.0,,0.40378698224852067,,1.0689349112426036,,,0.34636982248520704,,0.34636982248520704,0.34636982248520704,0.648094674556213,,138.42899408284023,,,,484.3905325443787
Carl Braun,196.0,81.0,Colgate University,1956.8181818181818,PG,28.818181818181817,62.18181818181818,1840.9,,0.4661666666666667,,5.331140350877193,,,0.39665789473684215,,0.39665789473684215,0.39665789473684215,0.8128947368421052,,262.70175438596493,,,,917.1944444444445
Frankie Brian,185.0,81.0,Louisiana State University,1953.0,SG,29.0,62.57142857142857,1523.2,,0.43849315068493144,,4.559817351598173,,,0.345472602739726,,0.345472602739726,0.345472602739726,0.8164543378995434,,168.78082191780823,,,,804.837899543379
Price Brookfield,193.0,83.0,West Texas A&M University,1950.0,F-G,29.0,7.0,,,0.592,,0.5,,,0.478,,0.478,0.478,0.923,,1.0,,,,34.0
Bob Brown,193.0,92.0,Miami University,1950.0,F,26.0,62.0,,,0.414,,1.2,,,0.361,,0.361,0.361,0.683,,101.0,,,,724.0
Jim Browne,208.0,106.0,,1950.0,C,20.0,31.0,,,0.392,,0.0,,,0.354,,0.354,0.354,0.481,,8.0,,,,47.0
Walt Budko,196.0,99.0,Columbia University,1951.0,PF,25.0,64.33333333333333,1126.0,,0.42744559585492226,,2.739378238341969,,,0.3538860103626943,,0.3538860103626943,0.3538860103626943,0.7255958549222798,,124.39896373056995,,,,450.860103626943
Jack Burmaster,190.0,86.0,University of Illinois at Urbana-Champaign,1950.0,G,23.0,61.0,,,0.378,,-0.4,,,0.333,,0.333,0.333,0.681,,179.0,,,,598.0
Tommy Byrnes,190.0,79.0,Seton Hall University,1950.8,F-G,26.8,29.4,,,0.3585170068027211,,0.042857142857142864,,,0.3020612244897959,,0.3020612244897959,0.3020612244897959,0.6761836734693877,,61.51700680272109,,,,211.58503401360545
Bill Calhoun,190.0,81.0,City College of San Francisco,1952.625,SG,24.625,56.0,1728.1666666666667,,0.42077455357142857,,2.801785714285714,,,0.33660267857142856,,0.33660267857142856,0.33660267857142856,0.7134285714285714,,148.87946428571428,,,,501.52232142857144
